no	tarih	baslik	durum	iliski	kaynak
84	2026-05-19	Açık Kapı ücreti geçici boş (PARK EDİLDİ)	SUPERSEDE	→432	ocak-kronoloji.md:149
85	2026-05-20	5. tur metinler — /takvim v2 · /yolculuk v2 · /anadolu v3	AKTIF		ocak-kronoloji.md:153
86	2026-05-20	"Köz" kelimesi site dilinde yok	KALICI	←453	ocak-kronoloji.md:154
88	2026-05-21	Çekirdek + arşiv ikili yapısı + tam dosya değişim modu	SUPERSEDE	→145	ocak-kronoloji.md:161
89	2026-05-21	Kaan'ın sahnedeki görünmezliği	KALICI		ocak-kronoloji.md:167
91	2026-05-21	/advaita meta cümlesi — "Ateşi ilk yakan. Tek taşıyıcı değil."	KALICI		ocak-kronoloji.md:169
94	2026-05-21	Site mimarisi düzeltmesi — /katmanlar çıktı, /biz şemsiye	AKTIF		ocak-kronoloji.md:177
107	2026-05-22	#22 Brief 2-3 — Sayfalar + Etkinlikler content layer loader'ları	AKTIF		ocak-kronoloji.md:237
122	2026-05-24	#26 Brief H — /takvim ay-ay timeline + EtkinlikTakvimi	AKTIF		ocak-kronoloji.md:463
128	2026-05-26	Brief F resmen kapanış — 5/5 form round-trip yeşil	AKTIF		ocak-kronoloji.md:1727
129	2026-05-26	Tepe band — Brief G'ye devreden borç	SUPERSEDE	→150 (pixel kanıtı çürüttü)	ocak-kronoloji.md:1728
132	2026-05-26	CC auto update fail + npm permission ops	ACIK-BORC	B15	ocak-kronoloji.md:1731
133	2026-05-27	Brief G zinciri — G.1 → G.4	AKTIF		ocak-kronoloji.md:2124
134	2026-05-27	atmosfer.css ana darbe	AKTIF		ocak-kronoloji.md:2155
135	2026-05-27	Sohbet ortası mimari keşif	AKTIF		ocak-kronoloji.md:2171
136	2026-05-27	Tasarım Notları tek-seferlik script ile çekildi	AKTIF		ocak-kronoloji.md:2215
139	2026-05-27	Başvuru formu unification genişletildi	AKTIF	←130	ocak-kronoloji.md:2410
140	2026-05-27	Brief G.4 — DOM kanıt + maksimum specificity	AKTIF	←138	ocak-kronoloji.md:2364
141	2026-05-27	Lansman öncesi kalan iş haritası — v0 etiketli 8 madde	AKTIF		ocak-kronoloji.md:2412
143	2026-05-27	/test sayfası ODA_MAP'e eklendi	TEYITSIZ	karar metni TEYİTLİ (2026-05.md:2612); ODA_MAP'ten çıkarılma kayıtlı DEĞİL → B34	2026-05.md#k143
144	2026-05-27	Lansman sonrası ilk hafta paketi — 3 yeni madde	ACIK-BORC	B16	ocak-kronoloji.md:2436
148	2026-05-27	Brief I.3 — SonrakiBulusma kategori defansı + lib refactor	AKTIF		ocak-kronoloji.md:2792
155	2026-05-31	Sıralı setlerde slug semantik disiplini	KALICI		ocak-kronoloji.md:3256
156	2026-05-31	Manifesto section'ı felsefi disiplin	KALICI		ocak-kronoloji.md:3204
157	2026-05-31	Git iş döngüsü — bağlanan karar	AKTIF	→193	ocak-kronoloji.md:3374
158	2026-05-31	Tarih dropdown + Dolu statü + boş durum	AKTIF	↔384	ocak-kronoloji.md:3290
163	2026-05-31	Notion-marker-driven slot kompozisyonu	KALICI		ocak-kronoloji.md:3212
165	2026-05-31	Sıfır etkinlikte tüm yaklaşan + DEFAULT_HEADING fallback	AKTIF	↔377	ocak-kronoloji.md:3214
166	2026-05-31	Kaan-Claude sınır disiplini	KALICI		ocak-kronoloji.md:3334
167	2026-05-31	Cormorant italik vs roman optik metrik farkı	KALICI		ocak-kronoloji.md:3200
168	2026-05-31	Astro scoped CSS + `set:html` uyumsuzluğu	KALICI		ocak-kronoloji.md:3298
181	2026-05-31	GTM UI tag setup tam — lansman blocker kapandı	AKTIF		ocak-kronoloji.md:3314
183	2026-05-31	Ateş Mektupları input'ta `autocomplete="email"` eksik	ACIK-BORC	B17	ocak-kronoloji.md:3296
190	2026-05-31	Route precedence WARN dökümantasyonu	KALICI		ocak-kronoloji.md:3346
191	2026-05-31	Git iş döngüsü — bağlanan karar	AKTIF	→193	ocak-kronoloji.md:3374
192	2026-05-31	Vercel CLI deploy disiplini	KALICI	←149	ocak-kronoloji.md:3370
195	2026-05-31	Atomik commit + atomik deploy	KALICI		ocak-kronoloji.md:3358
197	2026-05-31	`nowrap` + `clamp` rozet deseni	KALICI		ocak-kronoloji.md:3665
198	2026-05-31	`yolculuk-eksen` — kömürden aleve ısı-şeridi marker	AKTIF		ocak-kronoloji.md:3655
199	2026-06-01	Isı rampası tokens — `--isi-acilis … --isi-donus` + `--kor-cizgi`	AKTIF		ocak-kronoloji.md:3711
200	2026-05-31	`evreler-intro` + 6× `evre-*` whitelist + `transformEvre`	AKTIF		ocak-kronoloji.md:3655
201	2026-06-01	Lokasyon ayracı "·" — "+" teknik/matematiksel	KALICI		ocak-kronoloji.md:3713
203	2026-06-03	Teknik rehber sayfaları vurgu override'ından hariç	AKTIF	←202	ocak-kronoloji.md:3730
204	2026-05-31	Altın rengi tek-kaynak token (`--gold`)	AKTIF	B21 kapandı (75e5274) · token adı `--gold` kalıcı — D5	tokens.css:26 (--gold), atmosfer.css:93,103
205	2026-06-01	Form ayrı route'a — `/iletisim/bize-yaz`	AKTIF		ocak-kronoloji.md:3748
206	2026-06-01	İletişim dropdown 4 seçenek + form-anchor kaldırma	AKTIF	↔423	ocak-kronoloji.md:3748
207	2026-06-01	Kanal kartları tasarım sistemi — üç simetrik kart	AKTIF		ocak-kronoloji.md:3748
208	2026-05-31	Bölüm başlıkları "ikincil vurgu" rolünde kalır	KALICI		ocak-kronoloji.md:3661
209	2026-06-01	Footer TEMAS saf menü — üç "git" linki	AKTIF		ocak-kronoloji.md:3748
211	2026-06-01	Footer sabit manifesto cümlesi — iki ayrı katman	AKTIF		ocak-kronoloji.md:3766
212	2026-06-03	WhatsApp yüzen buton — `WhatsappYuzen.astro`	AKTIF		ocak-kronoloji.md:3787
213	2026-06-03	WhatsApp numarası tek sabit kaynak + target/rel	KALICI		ocak-kronoloji.md:3787
214	2026-06-03	Kayıt mimarisi — format başına ayrı `kayit` sayfası (7 statik dosya)	AKTIF		ocak-kronoloji.md:3807
215	2026-06-03	Form esnekliği — iletişim + KVKK + ödeme blokları	AKTIF		ocak-kronoloji.md:3807
216	2026-05-31	`submitKayit()` backend-agnostik tek hedef	KALICI		ocak-kronoloji.md:3657
217	2026-06-03	Ödeme ucu — havale/EFT	AKTIF	↔297,364	ocak-kronoloji.md:3807
219	2026-06-03	Yol C — otomatik katılım linki	AKTIF		ocak-kronoloji.md:3807
220	2026-06-03	Katılım linki ödemeli akışta gizli	KALICI		ocak-kronoloji.md:3807
221	2026-06-03	Referans no `OCAK-XXXXX` + success copy	SUPERSEDE	→250 (6 hane)	ocak-kronoloji.md:3807
222	2026-05-31	Bot prompt yönetimi Notion CMS — BotZ platform	AKTIF		ocak-kronoloji.md:3663
223	2026-06	İki pipeline keşfi — Apps Script lead formları ölü kod, taşınacak 3 form	AKTIF		2026-06.md#k223
226	2026-06-02	`src/lib/zoom.ts` + `api/zoom-olustur.ts`	AKTIF		ocak-kronoloji.md:3859
228	2026-06-02	Tek mail, koşullu field (Yol 2)	AKTIF		ocak-kronoloji.md:3862
229	2026-06-05	ML `zoom_sifresi` field açıldı	AKTIF	→230	ocak-kronoloji.md:3898
230	2026-06	Test edilen kod eski production'dı — teşhis dersi	KALICI		ocak-kronoloji.md:3918
231	2026-06	`Zoom Başlangıç Saati` makine-saat alanı display'den ayrı	KALICI		ocak-kronoloji.md:3923
232	2026-06	Cleanup fırsatı reddedildi — esneklik kaybı + real data first	KALICI		ocak-kronoloji.md:3923
233	2026-06-02	Ödeme webhook — `security.checkOrigin:false` + imza	AKTIF	↔297 (iyzico hattı değişti)	ocak-kronoloji.md:3866
234	2026-06-06	İki-kapı + Kayıtlar otoritesi	KALICI		ocak-kronoloji.md:3958
235	2026-06-06	`kodKullanimArtir` + env cleanup	AKTIF		ocak-kronoloji.md:3960
236	2026-06-02	Yasal kimlik bloğu + ODA_MAP 22→26	AKTIF		ocak-kronoloji.md:3869
239	2026-06	Faz-bazlı dallanma + Kullanılan Kod + UI temizliği	AKTIF		ocak-kronoloji.md:3985
241	2026-06-06	Askı toggle + indirim=0 — backend yok	AKTIF		ocak-kronoloji.md:3964
242	2026-06	Çift-sayım ruhu — 24s içinde aynı email sessiz skip	KALICI		ocak-kronoloji.md:4039
243	2026-06-06	Sayaç testi — 12/12 PASS	AKTIF		ocak-kronoloji.md:3966
244	2026-06	Çift sayım koruması + Şehir Kayıtlar DB'ye	AKTIF		ocak-kronoloji.md:3986
245	2026-06	Aşama 3b ilk uygulama	AKTIF		ocak-kronoloji.md:3983
252	2026-06	`<siparis>` deseninin OCAK'a taşınması — yeni makine yok	AKTIF		ocak-kronoloji.md:4017
253	2026-06	Şifre LLM'in yanına gelmez — tag-replacement	KALICI		ocak-kronoloji.md:4017
254	2026-06	Geçmişe sır yazma yasağı — multi-turn sızıntı önleme	KALICI		ocak-kronoloji.md:4017
255	2026-06	Aynı telefon birçok kayıtta → disambiguation şart	KALICI		ocak-kronoloji.md:4019
258	2026-06	Notion property yetmez — Code node o DB'yi çekmeli	KALICI		ocak-kronoloji.md:4019
261	2026-06	Koşullu required — false ise value gönderilmez	AKTIF		ocak-kronoloji.md:4026
262	2026-06	İki onay satırı eş pattern — asimetri teşhisi	AKTIF		ocak-kronoloji.md:4029
263	2026-06	Aydınlatma metni link + font 0.76rem / lh 1.55	AKTIF		ocak-kronoloji.md:4029
264	2026-06	Brief güncellenince CC'ye güncel halin geçtiğini teyit et	KALICI		ocak-kronoloji.md:4026
265	2026-06	Cascade'i parent'tan başlayarak izle	KALICI		ocak-kronoloji.md:4029
267	2026-06	CC push-back'i kabul edildi — iki mail deseni	AKTIF		ocak-kronoloji.md:4035
268	2026-06	Tek davet metni her kanalda aynı, listeye yazma yok	KALICI		ocak-kronoloji.md:4037
269	2026-06	Resend `mail.ocak.biz` subdomain — SPF çakışması önlendi	KALICI		ocak-kronoloji.md:4037
270	2026-06	Davet edilen e-posta URL/query'ye asla girmez	KALICI		ocak-kronoloji.md:4039
271	2026-06	Davetler DB + `?ref=` altyapısı	AKTIF		ocak-kronoloji.md:4039
272	2026-06	Kayıt Tipi-agnostik — Direkt + Başvuru ikisi için	KALICI		ocak-kronoloji.md:4041
273	2026-06	Promo alanı 0-TL'de render olmaz + havale kopya vaadi kalktı	AKTIF		ocak-kronoloji.md:4043
274	2026-06	Fix 4b — Aşama 5+ Resend template + trigger	ACIK-BORC	B18	ocak-kronoloji.md:4043
275	2026-06	İki tur uygulandı, eyeball temiz, kapandı	AKTIF		ocak-kronoloji.md:4045
276	2026-06	Arşivde "o günün gerçeği" korunur	KALICI	←61,88	ocak-kronoloji.md:4048
278	2026-07-02	Slug ayrı Notion property + build guard	AKTIF	←277	ocak-kronoloji.md:4139
281	2026-07-02	Semantik dikey ritim token sistemi	KALICI		ocak-kronoloji.md:4139
282	2026-07-02	Takvim-etkinlik display teması	AKTIF		ocak-kronoloji.md:4141
284	2026-07-02	Takvim/format sırası explicit — tek kaynak `KATEGORI_SIRA`	AKTIF	B24 kapandı (0b62473) · `bulusmalar.astro` KATEGORI_SIRA türetimi + BULUSMALAR_DISI	etkinlik-kategori.ts:62-71
285	2026-07-02	Filtre paneli reddedildi	KALICI		ocak-kronoloji.md:4142
287	2026-07-02	Kart meta satırı — Yöneten · Mekân/Platform · Saat	SUPERSEDE	→333	ocak-kronoloji.md:4142
288	2026-07-02	Mekân/Platform kapalı küme vs serbest alan kuralı	KALICI		ocak-kronoloji.md:4142
289	2026-07-02	Rozet "YÜZ YÜZE" + `mekanTipi()` 7 değer	KALICI		ocak-kronoloji.md:4142
291	2026-07-02	Anadolu harita+kart görsel dili — zigzag → numara	AKTIF	→340	ocak-kronoloji.md:4145
292	2026-07-02	Eşik accordion mimarisi	AKTIF		ocak-kronoloji.md:4150
293	2026-07-02	Eşik exclusive accordion scroll-jump fix	AKTIF		ocak-kronoloji.md:4151
294	2026-07-02	Slug-route disiplini	KALICI	←87	ocak-kronoloji.md:4147
295	2026-07-02	Notion ↔ kod sıra dersi — rename önce Notion	KALICI		ocak-kronoloji.md:4148
296	2026-07-02	Slug + eşik main merge + production deploy	AKTIF		ocak-kronoloji.md:4148
298	2026-07-02	Üç-dallı merge brief deseni	KALICI	←266	ocak-kronoloji.md:4157
300	2026-07-05	İki katmanlı dürüstlük dili + imza cümlesi	KALICI		ocak-kronoloji.md:4316
301	2026-07-05	Glyph kuralı — 5 glyph yalnız 5 kanon kartının mührü	KALICI		ocak-kronoloji.md:4316
302	2026-07-05	Evre-arketip değişmez + kanon yolculuk eşleşmesi	KALICI	←290	ocak-kronoloji.md:4318
303	2026-07-05	Kanon = tema havuzu	KALICI		ocak-kronoloji.md:4316
304	2026-07-05	H2 kakao dozu — 34 → ~12 geçiş	AKTIF		ocak-kronoloji.md:4324
305	2026-07-05	H3 süre/sıklık kanonu — 7 alt-karar	AKTIF	↔443,444	ocak-kronoloji.md:4325
308	2026-07-05	Eyeball sınıflama mimarisi	KALICI		ocak-kronoloji.md:4336
310	2026-07-05	Dalga A mikro kararları	AKTIF		ocak-kronoloji.md:4337
312	2026-07-05	Hedef kitle çift-yol genişlemesi — marka v1.3	KALICI	←15	ocak-kronoloji.md:7
314	2026-07-05	H6 İstanbul esnetme — pasif-romantik dil düzeltildi	AKTIF		ocak-kronoloji.md:4331
315	2026-07-05	Tema havuzu Anadolulaşması	KALICI		ocak-kronoloji.md:4325
316	2026-07-05	Uluslararası Yolculuk ilgi kancası	AKTIF	↔437	ocak-kronoloji.md:4333
317	2026-07-05	"Çığlık çalışması" → "sesin salınması"	AKTIF		ocak-kronoloji.md:4328
318	2026-07-05	Mini-retreat tema glyph'leri kalkar	AKTIF	←301	ocak-kronoloji.md:4328
319	2026-07-05	Atölye gruplama sırası — tek-seferlikler öne	ONERI	Kaan vetosu açık	ocak-kronoloji.md:4328
320	2026-07-05	"Kakao Seremonisi" → "Açılış Seremonisi" blok adı	ONERI	Kaan vetosu açık	ocak-kronoloji.md:4328
322	2026-07-05	/biz üst blok yeniden yapılandırma	AKTIF		ocak-kronoloji.md:4495
325	2026-07-05	Ok konum kanonu — tıklanır link ok-sonda `[X →]`	KALICI		ocak-kronoloji.md:4501
327	2026-07-05	/felsefe ilke-başına-bir-zirve deseni (sayfa-istisna)	AKTIF		ocak-kronoloji.md:4505
328	2026-07-05	/seremoni mevsim bloğu mikro-rötuş	ONERI		ocak-kronoloji.md:4507
331	2026-07-05	Home = en yakın Açık Kapı + "İlk Kıvılcım" başlık	SUPERSEDE	→377 (başlık düştü, acik-kapi sabiti korundu)	ocak-kronoloji.md:4419
332	2026-07-05	`showKayitLink` — tek kayıt aksiyonu	SUPERSEDE	→423	ocak-kronoloji.md:4421
333	2026-07-05	Meta tek şema — Yöneten · Mekân · Saat-ham	AKTIF	←287	ocak-kronoloji.md:4423
337	2026-07-05	Detay sayfası — kart kaldırıldı, Hero + buton	SUPERSEDE	→428	ocak-kronoloji.md:4431
338	2026-07-05	Link metni bağlama göre farklılaşır	KALICI		ocak-kronoloji.md:4433
339	2026-07-05	Buluşmalar sekme sırası kanonik H5 — `FORMAT_ORDER`	AKTIF	↔429	ocak-kronoloji.md:4435
340	2026-07-05	Anadolu mobil şerit — viewport-ayrık render @768px	AKTIF	←291	ocak-kronoloji.md:6
341	2026-07-05	Şerit etiketi = sadece evre adı	AKTIF		ocak-kronoloji.md:4443
342	2026-07-05	Aktif durakta yer adı teyidi	AKTIF		ocak-kronoloji.md:4445
343	2026-07-05	Aktif evre vurgusu — scroll-bağlı ortak state	AKTIF		ocak-kronoloji.md:4447
344	2026-07-05	"dokun" metni viewport-nötrleşmesi	AKTIF		ocak-kronoloji.md:4449
347	2026-07-05	`transformEsik` 4-param genelleştirme	AKTIF		ocak-kronoloji.md:4457
348	2026-07-05	`transformKapi` link-opsiyonel + `CARD_SECTIONS`	AKTIF		ocak-kronoloji.md:4459
349	2026-07-05	Vitrin Düzen A — tek sütun, 2-sütun grid reddedildi	KALICI		ocak-kronoloji.md:4461
350	2026-07-05	Statik ember kor şeridi — vitrin sol şeridi `--ash`→`--ember` 3px statik, hover/tap kaldırıldı	TEYITSIZ	karar metni TEYİTLİ (2026-07.md:499); `dist` selektör teyidi açık → B34	2026-07.md#k350
351	2026-07-05	Ritim tipografisi — vitrin + raf ortak	AKTIF		ocak-kronoloji.md:4465
352	2026-07-05	Sıcak zemin renk seviyesi	AKTIF		ocak-kronoloji.md:4467
353	2026-07-05	Gündönümü V2 sadeleştirme	AKTIF		ocak-kronoloji.md:4469
356	2026-07-05	`transformBesKaynak` — yön-kartı transform	AKTIF		ocak-kronoloji.md:4475
357	2026-07-05	Kaynak kartı Varyant C — pusula-başlık	AKTIF		ocak-kronoloji.md:4477
358	2026-07-05	Atölye Desen III — tek-seferlik liste	AKTIF	↔411	ocak-kronoloji.md:4479
359	2026-07-05	Atölye Desen IV — seri + süre başlıkta	SUPERSEDE	→412 (meta-slot iptali)	ocak-kronoloji.md:4481
360	2026-07-05	"Kadın ve Para" serisi çıkık kalır	AKTIF	←319	ocak-kronoloji.md:4483
362	2026-07-05	Seri kartları tek-p düzeltmesi	AKTIF		ocak-kronoloji.md:4481
375	2026-07	Order-duyarlı selektör + baseline sızma disiplini	KALICI	←355	ocak-kronoloji.md:4605
385	2026-07	Build-time tarih kararı TZ-sabitlenir (Europe/Istanbul)	KALICI	B23 kapandı (9da42b0+84f939c) · test tarafı ←464	davet-guvenlik-agi.ts:29, api/kayit.ts:67
387	2026-07	Preview testi dört-değişken doğrulaması	KALICI		ocak-kronoloji.md:4609
388	2026-07	Güvenli merge protokolü (tag)	KALICI		ocak-kronoloji.md:4815
389	2026-07	Hesap adı uçucu, ID kanonik — Vercel slug kso2025→hlaorpz	KALICI		ocak-kronoloji.md:5
394	2026-07	Client-safe ↔ server-only modül sınırı	KALICI		ocak-kronoloji.md:4613
395	2026-07	İki-yüzey drift kuralı — kopyayı elle eşit tutma	KALICI	←373	ocak-kronoloji.md:4611
403	2026-07	Ürün-katmanı imza cümlesi tek evi `/yolculuk` hero	AKTIF		ocak-kronoloji.md:5552
410	2026-07	WhatsApp display name adayları Meta tarafından reddedildi	ACIK-BORC	B19	ocak-kronoloji.md:5598
430	2026-07-12	Format enum "Uluslararası Yolculuğu" → yüz yüze; migrasyon yok	AKTIF		ocak-kronoloji.md:5479
431	2026-07-12	Yolculuk online — 20-24 kontenjan, Direkt kayıt, paralel takvim	AKTIF		ocak-kronoloji.md:5475
434	2026-07	Kavram katmanı Anadolu-spesifik gerçeklerden arındırıldı	AKTIF		ocak-kronoloji.md:3
435	2026-07	İki farklı kapı — biri diğerinin küçüğü değil	KALICI		ocak-kronoloji.md:5517
437	2026-07-12	"Uluslararası" → "Dünya"	KALICI		ocak-kronoloji.md:5475
438	2026-07	Yedinci kapı Meta açıklaması	AKTIF	←429	ocak-kronoloji.md:5527
439	2026-07	Notion'a dokunulacak gün o günkü taze dump gerekir	KALICI		ocak-kronoloji.md:5531
440	2026-07	`basvuru` öncesi/sonrası konum; Anadolu gövdesi korundu	AKTIF		ocak-kronoloji.md:5529
441	2026-07	Fable içerik/editoryal turu	AKTIF		ocak-kronoloji.md:3
442	2026-07	"Uzmanlık var; kürsü yok" doktrini	KALICI		ocak-kronoloji.md:5569
443	2026-07	Anadolu süre standardı — 3g4g / Dönüş 4g5g	KALICI	←6	ocak-kronoloji.md:5570
447	2026-07	WhatsApp stratejik konumlama — push'u hizmete, pull'u pazarlamaya	AKTIF	↔410 (display name beyanı geçersiz)	ocak-referans.md#k447
448	2026-07	A/B/C/D iş kırılımı	AKTIF		ocak-kronoloji.md:5568
449	2026-07-19	Sosyal medya ajans v2 — elektrik-kesildi teslim standardı	KALICI		ocak-kronoloji.md:3
450	2026-07-19	Gün 0 kurucu görsel kilidi — Gün 0 onayı olmadan Gün 1 yok	KALICI		ocak-kronoloji.md:5608
451	2026-07-19	"Kayıt/başvuru açık" dili Kaan sayfaları açana dek yasak	KALICI		ocak-kronoloji.md:5608
452	2026-07-19	Anadolu evre süreleri kartları + tek soruluk not	AKTIF		ocak-kronoloji.md:5610
453	2026-07-19	Kamu metninde "köz" yasağı Bölüm 4'e kodlandı	KALICI	→86	ocak-kronoloji.md:5610
62	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
64	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
66	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
67	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
68	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
159	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
160	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
164	2026-05-31	Notion-marker-driven slot kompozisyonu (blok üyesi)	KALICI	⊂163	2026-05.md#k163-blok
170	2026-05-31	Form-anchor look-backward + AtesMektuplariCTA daraltma (blok üyesi)	AKTIF	⊂169	2026-05.md#k169-blok
171	2026-05-31	Tarih dropdown + Dolu statü + boş durum (blok üyesi)	AKTIF	⊂158	2026-05.md#k158-blok
172	2026-05-31	Form-anchor look-backward + AtesMektuplariCTA daraltma (blok üyesi)	AKTIF	⊂169	2026-05.md#k169-blok
179	—	numara atlandı — tanım hiç yazılmadı	KULLANILMADI	ADIM 1 anomali: dizi boşluğu 16	2026-08.md#adim1
237	2026-06-02	Yasal/uyumluluk — 4 statik yasal sayfa + kurumsal kimlik (blok üyesi)	AKTIF	⊂236	2026-06.md#k236-blok
238	2026-06-02	Yasal/uyumluluk — 4 statik yasal sayfa + kurumsal kimlik (blok üyesi)	AKTIF	⊂236	2026-06.md#k236-blok
247	2026-06	Tasarım turu 2 — hesap bug + sıralama + askı sadeleştirme (blok üyesi, `934afbf`)	AKTIF	⊂241	2026-06.md#41-madde6
248	2026-06	Tasarım turu 1 — form sıralama + Niyet runtime + kuruş + Zoom şifre (blok üyesi, `7d8486c`)	AKTIF	⊂240	2026-06.md#41-madde5
454	2026-08-06	—	REZERVE	ADIM 1: 429-453 mühürlü, çakışma riski alınmadı; yeni kararlar 455'ten	2026-08.md#adim1
455	2026-08-06	Otorite kopya repodadır; project files bayat (10-marka.md istisna)	KALICI	→462	90-kronoloji/2026-08.md
456	2026-08-06	KARAR ledger'ı indekstir, referans değil — `kaynak` sütunu zorunlu	KALICI		20-ref-protokoller.md
457	2026-08-06	`00-durum.md` 200 satır hard cap — aşan blok kronolojiye iner	KALICI	↔61,88	00-durum.md
458	2026-08-06	Agent/skill kadrosu + iki-yüzey mimarisi — kanonik kaynak `docs/skills/`	KALICI	↔455	2026-08.md#k458
459	2026-08-06	İçerik otoritesi: `ocak-metin` taslak-only, Notion'a giriş elle	KALICI	en az 3 ay	2026-08-06-ocak-gecis-plani.md
460	2026-08-06	SIRA İLKESİ — doküman kalitesi tesisattan önce gelir	KALICI		20-ref-protokoller.md
461	2026-08-06	MCP hedeftir, yapıştırma geçicidir — 1-3 oturmadan açılmaz	AKTIF	→ADIM 7	2026-08-06-ocak-gecis-plani.md
462	2026-08-06	Sohbet sonu = tek `docs-patch` dosyası, CC uygular (tam yenileme yok)	KALICI	←88,145,397	00-durum.md
463	2026-08-06	TEK KLON DİSİPLİNİ — bir repo, bir klon, bir aktif CC	KALICI	↔150 · B01	20-ref-protokoller.md
464	2026-08-06	Test ortamı TZ sabitlenir — `vitest.config.ts` → TZ:'UTC'	KALICI	←385 · ↔387 · kod teyitli 6 Ağu (vitest.config.ts:12)	vitest.config.ts
465	2026-08-07	Çapa tekilliği ve doğrulama disiplini — çapa tek benzersiz satırdan, kriter dosyanın gerçeğinden	KALICI	←355 · ↔462	2026-08.md#k465
